id,cp,ville,adresse,latitude,longitude,enseigne,gazole,e10,sp98,tendance_gazole,tendance_e10,tendance_sp98,tendance_demain_gazole,confiance_demain_gazole,tendance_demain_e10,confiance_demain_e10,tendance_demain_sp98,confiance_demain_sp98
34150003,34150,GIGNAC,Route de Pézenas,43.6504008,3.5451865,Intermarché,1.834,1.835,1.939,hausse,hausse,egal,stable,1,stable,1,stable,1
25115001,25115,Pouilley-les-Vignes,Z.A. les Salines,47.257413,5.924087,Super U,1.849,,1.989,egal,,egal,stable,1,stable,1,stable,1
33114001,33114,LE BARP,Avenue du Médoc ZAC Eyrialis,44.623,-0.787,Super U,1.899,1.895,1.996,egal,egal,egal,stable,1,stable,1,stable,1
38230003,38230,Tignieu-Jameyzieu,Rue des Ardennes,45.745,5.183,E.Leclerc,1.820,1.840,1.939,hausse,hausse,egal,stable,1,stable,1,stable,1
89100001,89100,SENS,84 ROUTE DE MAILLOT,48.1876177,3.3039707,Carrefour,1.839,1.879,1.989,egal,egal,egal,stable,1,stable,1,stable,1
80570001,80570,Dargnies,Rue Joliot Curie,50.0455386,1.5266892,Carrefour Contact,1.900,,1.980,egal,,egal,stable,1,stable,1,stable,1
56580001,56580,Bréhan,16 rue chateaubriand,48.061,-2.69,U,1.839,,1.949,egal,,egal,stable,1,stable,1,stable,1
6110002,06110,Le Cannet,Boulevard Carnot,43.572,7.016,Avia,1.889,1.855,1.969,egal,egal,egal,stable,1,stable,1,stable,1
95350002,95350,SAINT-BRICE-SOUS-FORêT,20 avenue robert schumann,49.0118432,2.3513201,Carrefour,1.880,1.877,2.005,hausse,egal,egal,stable,1,stable,1,stable,1
93380009,93380,Pierrefitte-sur-Seine,"42, BOULEVARD JEAN MERMOZ",48.966097,2.364131,Total Access,1.897,1.905,1.990,hausse,baisse,egal,stable,1,stable,1,stable,1
40500002,40500,Saint-Sever,Route de Mont de Marsan,43.773888,-0.5673355,Intermarché,1.866,1.891,1.995,egal,egal,egal,stable,1,stable,1,stable,1
5100009,05100,Montgenèvre,RN 94,44.934,6.733,E.Leclerc,1.857,1.939,2.020,egal,egal,egal,stable,1,stable,1,stable,1
12270001,12270,La Fouillade,ZA LE LAC,44.2372224,2.0336003,Intermarché,1.879,1.879,1.989,hausse,hausse,egal,stable,1,stable,1,stable,1
58240003,58240,Chantenay-Saint-Imbert,ROUTE NATIONALE 7 - LES BOULAISES,46.753517,3.140691,Total Access,1.883,1.888,1.990,hausse,baisse,egal,stable,1,stable,1,stable,1
92230008,92230,GENNEVILLIERS,192 Avenue Louis Roche,48.9320417,2.3054873,E.Leclerc,1.899,1.949,1.999,egal,egal,egal,stable,1,stable,1,stable,1
60350003,60350,Cuise-la-Motte,ROUTE DE SOISSONS- RN 31,49.404,3.008,Total Access,1.870,1.874,1.976,hausse,baisse,,stable,1,stable,1,stable,1
77141003,77141,Vaudoy-en-Brie,"RN4 route de Pecy, lieu dit Lugins",48.684091,3.087163,AviaXpress,2.049,2.079,2.199,egal,egal,egal,stable,1,stable,1,stable,1
