id;enseigne_actuelle;statut_enseigne;suggestions_enseigne;adresse;cp;ville;latitude;longitude;source_enseigne;osm_id;motifs_controle;signature;enseigne_corrigee;decision;commentaire
56580001;U;a_completer;;16 rue chateaubriand;56580;Bréhan;48.061;-2.69;OpenStreetMap;node/3489531057;;16 rue chateaubriand|56580|bréhan;;;
77141003;AviaXpress;ok_osm;Avia;RN4 route de Pecy, lieu dit Lugins;77141;Vaudoy-en-Brie;48.684091;3.087163;OpenStreetMap;node/6815607655;adresse BAN eloignee des coordonnees;rn4 route de pecy, lieu dit lugins|77141|vaudoy-en-brie;;;
24230002;;a_completer;;26 Avenue del peirigord;24230;Vélines;44.852;0.104;;;enseigne inconnue | adresse BAN eloignee des coordonnees | correspondance OpenStreetMap ambigue;26 avenue del peirigord|24230|vélines;;;
3210001;;a_completer;;1 ROUTE DE COSNE;03210;Souvigny;46.536;3.203;;;enseigne inconnue | adresse BAN eloignee des coordonnees | aucune station OpenStreetMap proche;1 route de cosne|03210|souvigny;;;
77550004;;a_completer;;AUTOROUTE A5B - AIRE DE GALANDE-LA-MARE-LAROCHE;77550;Évry-Grégy-sur-Yerre;48.626;2.63;;;enseigne inconnue | adresse BAN eloignee des coordonnees | aucune station OpenStreetMap proche;autoroute a5b - aire de galande-la-mare-laroche|77550|évry-grégy-sur-yerre;;;
74330002;;a_completer;;Route Nationale 508;74330;Epagny Metz-Tessy;45.941;6.088;;;enseigne inconnue | adresse BAN eloignee des coordonnees | aucune station OpenStreetMap proche;route nationale 508|74330|epagny metz-tessy;;;
71000020;;a_completer;;Rue Frédéric Mistral;71000;Mâcon;46.292;4.811;;;enseigne inconnue | correspondance OpenStreetMap ambigue;rue frédéric mistral|71000|mâcon;;;
14130010;;a_completer;;AIRE DE QUETTEVILLE A29;14130;Quetteville;49.336906;0.308019;;;enseigne inconnue | adresse BAN eloignee des coordonnees | aucune station OpenStreetMap proche;aire de quetteville a29|14130|quetteville;;;
86000021;;a_completer;;70, avenue John Kennedy;86000;Poitiers;46.589;0.36;;;enseigne inconnue | adresse BAN eloignee des coordonnees | correspondance OpenStreetMap ambigue;70, avenue john kennedy|86000|poitiers;;;
53140001;;a_completer;;zone Normandie Maine;53140;Pré-en-Pail-Saint-Samson;48.459277;-0.201908;;;enseigne inconnue | adresse BAN eloignee des coordonnees | aucune station OpenStreetMap proche;zone normandie maine|53140|pré-en-pail-saint-samson;;;
29510005;;a_completer;;Rue d'Armor;29170;Saint-Évarzec;47.938;-4.023;;;enseigne inconnue | adresse BAN eloignee des coordonnees | correspondance OpenStreetMap ambigue;rue d'armor|29170|saint-évarzec;;;
62560002;;a_completer;;26 RUE PRINCIPALE;62560;Dennebrœucq;50.571189;2.150657;;;;26 rue principale|62560|dennebrœucq;;;
82700001;;a_completer;;171 Avenue d'Auch;82700;Montech;43.956;1.221;;;enseigne inconnue | adresse BAN eloignee des coordonnees | correspondance OpenStreetMap ambigue;171 avenue d'auch|82700|montech;;;
59760001;;a_completer;;Avenue de l'Ancien Village;59760;Grande-Synthe;51.011;2.293;;;enseigne inconnue | aucune station OpenStreetMap proche;avenue de l'ancien village|59760|grande-synthe;;;
82710003;;a_completer;Esso;Aire de Nauze Vert, RN 20;82710;Bressols;43.968;1.339;;;enseigne inconnue | adresse BAN eloignee des coordonnees | aucune station OpenStreetMap proche;aire de nauze vert, rn 20|82710|bressols;;;
83600020;;a_completer;;100 RDN 7 AV.DE VERDUN;83600;Fréjus;43.43809;6.719088;;;enseigne inconnue | adresse BAN eloignee des coordonnees | correspondance OpenStreetMap ambigue;100 rdn 7 av.de verdun|83600|fréjus;;;
79000015;;a_completer;;130 Avenue de NANTES;79000;Saint-Rémy;46.348104;-0.509968;;;enseigne inconnue | adresse BAN eloignee des coordonnees | aucune station OpenStreetMap proche;130 avenue de nantes|79000|saint-rémy;;;
84840003;U;a_completer;;81 Avenue de Montélimar;84840;Lapalud;44.312;4.686;OpenStreetMap;way/1134268514;;81 avenue de montélimar|84840|lapalud;;;
84200008;Independent;a_completer;;2875 Route de malaucene;84200;Carpentras;44.0811865;5.0678917;OpenStreetMap;node/1332513206;;2875 route de malaucene|84200|carpentras;;;
21500002;;a_completer;;Rue de Dijon;21500;Montbard;47.62499;4.3466;;;enseigne inconnue | correspondance OpenStreetMap ambigue;rue de dijon|21500|montbard;;;
6640002;U;a_completer;;QUARTIER LE PEYRON;06640;Saint-Jeannet;43.743573;7.146356;OpenStreetMap;node/1329928757;adresse BAN eloignee des coordonnees;quartier le peyron|06640|saint-jeannet;;;
52540001;;a_completer;;RUE PASTEUR;62540;Marles-les-Mines;50.503;2.508;;;enseigne inconnue | correspondance OpenStreetMap ambigue;rue pasteur|62540|marles-les-mines;;;
39120002;;a_completer;;Route de Longwy;39120;Chaussin;46.958;5.409;;;enseigne inconnue | adresse BAN eloignee des coordonnees | correspondance OpenStreetMap ambigue;route de longwy|39120|chaussin;;;
49330004;;a_completer;;ROUTE D'ANGERS;49330;Les Hauts-d'Anjou;47.664215;-0.56046;;;enseigne inconnue | adresse BAN eloignee des coordonnees | aucune station OpenStreetMap proche;route d'angers|49330|les hauts-d'anjou;;;
85150001;U;a_completer;;1 rue des Blés, La Mothe Achard;85150;Les Achards;46.607;-1.664;OpenStreetMap;way/107962032;correspondance OpenStreetMap ambigue;1 rue des blés, la mothe achard|85150|les achards;;;
8210001;;a_completer;;Avenue de la Paix;08210;Mouzon;49.61023;5.07788;;;enseigne inconnue | adresse BAN eloignee des coordonnees | correspondance OpenStreetMap ambigue;avenue de la paix|08210|mouzon;;;
33370007;;a_completer;;Bois Menu - Val Laurence;33370;Fargues-Saint-Hilaire;44.825;-0.444;;;enseigne inconnue | correspondance OpenStreetMap ambigue;bois menu - val laurence|33370|fargues-saint-hilaire;;;
91430003;;a_completer;;ROUTE NATIONALE 444;91430;Igny;48.735;2.225;;;enseigne inconnue | adresse BAN eloignee des coordonnees | aucune station OpenStreetMap proche;route nationale 444|91430|igny;;;
4320001;;a_completer;;STATION RN 4202;04320;Entrevaux;43.949;6.81;;;enseigne inconnue | adresse BAN eloignee des coordonnees | aucune station OpenStreetMap proche;station rn 4202|04320|entrevaux;;;
88250003;;a_completer;Esso;2 bis route de Cornimont;88250;Rochesson;48.004;6.834;;;enseigne inconnue | adresse BAN eloignee des coordonnees | aucune station OpenStreetMap proche;2 bis route de cornimont|88250|rochesson;;;
28700004;U;a_completer;;Zac du Pays Alnelois;28700;Auneau-Bleury-Saint-Symphorien;48.477085;1.767638;OpenStreetMap;way/184302317;;zac du pays alnelois|28700|auneau-bleury-saint-symphorien;;;
9270003;;a_completer;;LIEU DIT LE RAUNIER;09270;Mazères;43.251;1.678;;;enseigne inconnue | adresse BAN eloignee des coordonnees | aucune station OpenStreetMap proche;lieu dit le raunier|09270|mazères;;;
29710004;U;a_completer;;RUE DES ECOLES;29710;Landudec;48.001;-4.336;OpenStreetMap;way/263328439;adresse BAN eloignee des coordonnees;rue des ecoles|29710|landudec;;;
68124002;;a_completer;;1 ROUTE DE TURCKHEIM;68124;Wintzenheim;48.08594;7.31377;;;enseigne inconnue | adresse BAN eloignee des coordonnees | correspondance OpenStreetMap ambigue;1 route de turckheim|68124|wintzenheim;;;
44530003;U;a_completer;;route de Pontchâteau;44530;Saint-Gildas-des-Bois;47.50937;-2.04035;OpenStreetMap;node/25209866;;route de pontchâteau|44530|saint-gildas-des-bois;;;
31210001;;a_completer;;Avenue de Luchon;31210;Gourdan-Polignan;43.06544;0.58785;;;enseigne inconnue | adresse BAN eloignee des coordonnees | correspondance OpenStreetMap ambigue;avenue de luchon|31210|gourdan-polignan;;;
36100003;;a_completer;;RN 151;36100;Saint-Aoustrille;46.938;1.947;;;enseigne inconnue | adresse BAN eloignee des coordonnees | aucune station OpenStreetMap proche;rn 151|36100|saint-aoustrille;;;
