id_station;enseigne_actuelle;adresse_actuelle;code_postal;ville;latitude_actuelle;longitude_actuelle;statut_verification;motif_verification;source_actuelle;google_place_id;google_enseigne;google_adresse;google_latitude;google_longitude;google_verifie_le;decision;commentaire
40500002;Intermarché;Route de Mont de Marsan;40500;Saint-Sever;43.773888;-0.5673355;ok_donnees_officielles_osm;;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
80570001;Carrefour Contact;Rue Joliot Curie;80570;Dargnies;50.0455386;1.5266892;ok_donnees_officielles_osm;;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
56580001;U;16 rue chateaubriand;56580;Bréhan;48.061;-2.69;ok_donnees_officielles_osm;;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
38230003;E.Leclerc;Rue des Ardennes;38230;Tignieu-Jameyzieu;45.745;5.183;ok_donnees_officielles_osm;;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
25115001;Super U;Z.A. les Salines;25115;Pouilley-les-Vignes;47.257413;5.924087;ok_donnees_officielles_osm;;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
34150003;Intermarché;Route de Pézenas;34150;Gignac;43.6504008;3.5451865;ok_donnees_officielles_osm;;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
33114001;Super U;Avenue du Médoc ZAC Eyrialis;33114;Le Barp;44.623;-0.787;ok_donnees_officielles_osm;;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
6110002;Avia;Boulevard Carnot;06110;Le Cannet;43.572;7.016;ok_donnees_officielles_osm;;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
95350002;Carrefour;20 avenue robert schumann;95350;Saint-Brice-sous-Forêt;49.0118432;2.3513201;ok_donnees_officielles_osm;;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
93380009;Total Access;42, BOULEVARD JEAN MERMOZ;93380;Saint-Denis;48.966097;2.364131;ok_donnees_officielles_osm;;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
5100009;E.Leclerc;RN 94;05100;Montgenèvre;44.934;6.733;a_verifier_google_places;adresse BAN eloignee des coordonnees;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
12270001;Intermarché;ZA LE LAC;12270;La Fouillade;44.2372224;2.0336003;ok_donnees_officielles_osm;;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
89100001;Carrefour;84 ROUTE DE MAILLOT;89100;Sens;48.1876177;3.3039707;ok_donnees_officielles_osm;;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
58240003;Total Access;ROUTE NATIONALE 7 - LES BOULAISES;58240;Chantenay-Saint-Imbert;46.753517;3.140691;a_verifier_google_places;adresse BAN eloignee des coordonnees;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
92230008;E.Leclerc;192 Avenue Louis Roche;92230;Gennevilliers;48.9320417;2.3054873;ok_donnees_officielles_osm;;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
83790001;Carrefour;Lieu dit le Fege- RN97;83790;Pignans;43.302;6.236;a_verifier_google_places;adresse BAN eloignee des coordonnees;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
60350003;Total Access;ROUTE DE SOISSONS- RN 31;60350;Cuise-la-Motte;49.404;3.008;ok_donnees_officielles_osm;;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
83590001;Intermarché;Le Murier, RD 97;83590;Gonfaron;43.316;6.275;a_verifier_google_places;adresse BAN eloignee des coordonnees;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
7290000;3C;Route d'Annonay;07290;Satillieu;45.160197;4.632881;a_verifier_google_places;adresse BAN eloignee des coordonnees;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
77141003;AviaXpress;RN4 route de Pecy, lieu dit Lugins;77141;Vaudoy-en-Brie;48.684091;3.087163;a_verifier_google_places;adresse BAN eloignee des coordonnees;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
4170002;TotalEnergies;RN 202;04170;Saint-André-les-Alpes;43.967;6.507;ok_donnees_officielles_osm;;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
74250003;Avia;419 Route de la Vallée du Giffre;74250;Fillinges;46.163834;6.349483;ok_donnees_officielles_osm;;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
33210008;Netto;route de Bazas ZI dumes;33210;Langon;44.540479;-0.2418709;ok_donnees_officielles_osm;;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
59550001;Carrefour Market;Boulevard des Résistants;59550;Landrecies;50.124;3.689;ok_donnees_officielles_osm;;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
38570003;Netto;LIEU DIT LE ROMPAY RD523;38570;Le Cheylas;45.386;5.998;a_verifier_google_places;adresse BAN eloignee des coordonnees;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
34670001;AS24;103 Avenue de la Biste;34670;Baillargues;43.6557659;3.9961762;ok_donnees_officielles_osm;;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
24230002;;26 Avenue del peirigord;24230;Vélines;44.852;0.104;a_verifier_google_places;enseigne inconnue, adresse BAN eloignee des coordonnees, correspondance OpenStreetMap ambigue;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
91200001;Carrefour;180 ROUTE NATIONALE 7;91200;Paray-Vieille-Poste;48.7109875;2.3720656;ok_donnees_officielles_osm;;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
21400005;Intermarché;Chaussée de l'Europe;21400;Châtillon-sur-Seine;47.8665102;4.5733883;ok_donnees_officielles_osm;;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
19300002;Super U;Avenue Charles de Gaulle;19300;Égletons;45.4006594;2.0392837;ok_donnees_officielles_osm;;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
30100013;Total;ZI AV. DE CROUPILLAC;30100;Alès;44.138;4.104;a_verifier_google_places;adresse BAN eloignee des coordonnees;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
82800001;Super U;Rue des Marchats;82800;Nègrepelisse;44.076005;1.5185767;ok_donnees_officielles_osm;;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
89330001;Intermarché;Route de Villeneuve;89330;Saint-Julien-du-Sault;48.0359748;3.3062615;ok_donnees_officielles_osm;;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
13270004;Esso Express;DEVIATION RN 568 OUEST;13270;Fos-sur-Mer;43.4402308;4.9398268;ok_donnees_officielles_osm;;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
13380002;Esso Express;89 AVENUE DE LA LIBERATION;13380;Plan-de-Cuques;43.341;5.457;a_verifier_google_places;adresse BAN eloignee des coordonnees;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
34420003;Carrefour Market;ZAE Pôle Méditerranée;34420;Villeneuve-lès-Béziers;43.322;3.291;a_verifier_google_places;adresse BAN eloignee des coordonnees;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
3200005;Carrefour;Allée des ailes;03200;Vichy;46.1426611;3.4129682;ok_donnees_officielles_osm;;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
64500006;TotalEnergies;26 - RN 618 AVENUE DE CHANTACO;64500;Saint-Jean-de-Luz;43.382;-1.649;a_verifier_google_places;adresse BAN eloignee des coordonnees;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
3210001;;1 ROUTE DE COSNE;03210;Souvigny;46.536;3.203;a_verifier_google_places;enseigne inconnue, adresse BAN eloignee des coordonnees, aucune station OpenStreetMap proche;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
77680004;Intermarché;Place Robert Schuman;77680;Roissy-en-Brie;48.79;2.642;ok_donnees_officielles_osm;;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
14400004;Esso;BOULEVARD MONTGOMERY;14400;Bayeux;49.271;-0.694;ok_donnees_officielles_osm;;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
29450001;Système U;ZA du Pont Bleu;29450;Sizun;48.411;-4.087;ok_donnees_officielles_osm;;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
78140010;Esso;27,RUE LOUIS BREGUET;78140;Vélizy-Villacoublay;48.781;2.183;ok_donnees_officielles_osm;;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
86310002;Intermarché;8 Avenue du Général de Gaulle;86310;Saint-Savin;46.567;0.86;ok_donnees_officielles_osm;;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
18200011;Esso;Autoroute A71 - La GazonnièreSens Bourges – Clermond-Ferrand;18200;Farges-Allichamps;46.752;2.416;a_verifier_google_places;adresse BAN eloignee des coordonnees;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
39100006;Intermarché;9 Rue Léon Bel;39100;Dole;47.1092885;5.5077013;ok_donnees_officielles_osm;;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
19190002;Total;RD15 LE BOURG;19190;Le Pescher;45.071202;1.737681;a_verifier_google_places;adresse BAN eloignee des coordonnees;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
64330001;Intermarché;Avenue Georges Phesans;64330;Garlin;43.557;-0.284;a_verifier_google_places;adresse BAN eloignee des coordonnees;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
50260003;Intermarché;240 Rue Bitouzé d'Auxmesnil;50260;Bricquebec-en-Cotentin;49.468;-1.64;ok_donnees_officielles_osm;;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
87570002;Carrefour Contact;87 rue jean monet;87570;Rilhac-Rancon;45.89885;1.31178;ok_donnees_officielles_osm;;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
77550004;;AUTOROUTE A5B - AIRE DE GALANDE-LA-MARE-LAROCHE;77550;Évry-Grégy-sur-Yerre;48.626;2.63;a_verifier_google_places;enseigne inconnue, adresse BAN eloignee des coordonnees, aucune station OpenStreetMap proche;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
69700002;Total;1293 Route de Beaucaire (Ex.45 R.N. 86);69700;Loire-sur-Rhône;45.56;4.81;ok_donnees_officielles_osm;;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
74330002;;Route Nationale 508;74330;Epagny Metz-Tessy;45.941;6.088;a_verifier_google_places;enseigne inconnue, adresse BAN eloignee des coordonnees, aucune station OpenStreetMap proche;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
69480002;Avia;633 route de villefranche;69480;Anse;45.943;4.715;ok_donnees_officielles_osm;;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
43770001;Intermarché;17 Avenue des Champs Élysées;43770;Chadrac;45.0534384;3.898674;ok_donnees_officielles_osm;;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
91100019;Esso;46 avenue du 8 mai 1945;91100;Corbeil-Essonnes;48.611;2.452;ok_donnees_officielles_osm;;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
88170006;Total;AUT.A31-AIRE DE LORRAINE SANDAUCOURT-LES RAPPES;88170;Sandaucourt;48.266636;5.863744;a_verifier_google_places;adresse BAN eloignee des coordonnees;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
33440006;Avia;avenue des Industries;33440;Ambarès-et-Lagrave;44.926153;-0.520542;ok_donnees_officielles_osm;;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
14470001;TotalEnergies;ROUTE DE CAEN;14470;Courseulles-sur-Mer;49.3189256;-0.4527562;ok_donnees_officielles_osm;;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
59540002;Intermarché;Rue de la Gare;59540;Caudry;50.1120775;3.4088173;ok_donnees_officielles_osm;;Donn?es officielles carburants + enrichissement OpenStreetMap/BAN;;;;;;;;
