id;champ;valeur_locale;valeur_officielle
10000006;latitude;48.2883095;48.289
10000006;longitude;4.0753598;4.076
1000004;latitude;46.1887802;46.188
1000004;longitude;5.2439141;5.245
1000007;gazole;1.846;1.828
1000009;gazole;1.927;1.847
1000009;e10;1.94;1.830
1000009;sp98;1.999;1.950
1000012;ville;Saint-Denis-lès-Bourg;SAINT DENIS LES BOURG
1000013;latitude;46.1996473;46.199
1000013;longitude;5.2409261;5.244
1000016;ville;Bourg-en-Bresse;Bourg en Bresse
1000016;gazole;1.847;1.829
1000016;e10;1.83;1.831
1000016;sp98;1.95;1.951
10100002;gazole;1.931;1.912
10100003;e10;1.868;1.862
10100004;gazole;1.839;1.824
10100004;sp98;1.95;1.949
10110002;sp98;2.078;2.059
10120004;ville;Saint-Germain;SAINT GERMAIN
10120004;latitude;48.2622154;48.261519
10120004;longitude;4.0354003;4.034204
10120006;ville;Saint-André-les-Vergers;SAINT ANDRE LES VERGERS
10140001;latitude;48.2361081;48.237
10140001;longitude;4.4692552;4.467
10150002;ville;Creney-près-Troyes;PONT-SAINTE-MARIE
10150002;latitude;48.3272238;48.328
10150002;longitude;4.112872;4.113
10150003;gazole;2.074;1.969
10150003;e10;2.067;2.019
10160001;ville;Aix-Villemaur-Pâlis;AIX-EN-OTHE
10160001;latitude;48.2170256;48.216
10160001;longitude;3.7403956;3.741
10160002;gazole;2.1;2.020
10170001;ville;Méry-sur-Seine;MERY-SUR-SEINE
10170001;latitude;48.5110843;48.508021
10170001;longitude;3.898355;3.878817
10180001;ville;Saint-Lyé;SAINT-LYE
10210001;latitude;48.0617229;48.066
10210001;longitude;4.1428934;4.141
10250001;latitude;47.9841111;47.983
10250001;longitude;4.4932355;4.496
10260001;ville;Fouchères;FOUCHERES
10270009;latitude;48.2612432;48.261975
10270009;longitude;4.2483054;4.249441
10310001;ville;Ville-sous-la-Ferté;VILLE SOUS LA FERTE
10340001;latitude;47.9963879;47.99651
10340001;longitude;4.3660909;4.36718
10350001;latitude;48.4086908;48.406
10350001;longitude;3.7380993;3.738
10350001;gazole;1.84;1.850
10350001;e10;1.86;1.879
10350001;sp98;1.974;1.993
10400002;gazole;;1.859
10400002;sp98;;2.000
10400007;ville;Traînel;TRAINEL
10400007;latitude;48.4116002;48.410008
10400007;longitude;3.4390279;3.434652
10410003;ville;Villechétif;SAINT PARRES AUX TERTRES
10430003;ville;Rosières-près-Troyes;Rosières
10500001;gazole;1.957;1.938
10500002;gazole;1.887;1.898
10500002;e10;1.898;1.922
10500002;sp98;2.005;2.030
10600002;ville;La Chapelle-Saint-Luc;Sainte-Savine
10600002;latitude;48.303062;48.305
10600002;longitude;4.0260644;4.027
10600002;gazole;1.859;1.889
10600002;e10;1.909;1.919
10600002;sp98;2.039;2.049
10600009;ville;Barberey-Saint-Sulpice;BARBEREY
10600012;ville;Barberey-Saint-Sulpice;BARBEREY ST SULPICE
10700001;gazole;1.956;1.937
10700001;e10;1.95;1.951
