id,cp,latitude,longitude
12270001,12270,4424024.1001506,203283.20468272
80570001,80570,5004475,152562
6110002,06110,4357200,701600
89100001,89100,4818300,330900
38230003,38230,4574500,518300
33114001,33114,4462300,-78700
92230008,92230,4893270,230440
58240003,58240,4675351.71497,314069.121289
95350002,95350,4900763,235163
93380009,93380,4896609.70452,236413.094302
5100009,05100,4493400,673300
25115001,25115,4725741.3021458,592408.72885659
34150003,34150,4365100,354700
56580001,56580,4806100,-269000
40500002,40500,4377300,-56700
33210008,33210,4454200,-24200
83590001,83590,4331600,627500
77141003,77141,4868409.14,308716.27
38570003,38570,4538600,599800
60350003,60350,4940400,300800
4170002,04170,4396700,650700
59550001,59550,5012400,368900
74250003,74250,4616383.4319677,634948.33495813
7290000,07290,4516019.7050871,463288.11656225
83790001,83790,4330200,623600
34670001,34670,4365500,399600
19300002,19300,4540200,204200
91200001,91200,4871200,237100
82800001,82800,4407487,151788
30100013,30100,4413800,410400
21400005,21400,4786700,457200
24230002,24230,4485200,10400
89330001,89330,4803610,330502
13270004,13270,4344100,494000
13380002,13380,4334100,545700
34420003,34420,4332200,329100
64500006,64500,4338200,-164900
3200005,03200,4614300,341500
3210001,03210,4653600,320300
77680004,77680,4879000,264200
14400004,14400,4927100,-69400
29450001,29450,4841100,-408700
78140010,78140,4878100,218300
86310002,86310,4656700,86000
18200011,18200,4675200,241600
39100006,39100,4710875,550677
19190002,19190,4507120.2,173768.1
87570002,87570,4589885,131178
64330001,64330,4355700,-28400
50260003,50260,4946800,-164000
77550004,77550,4862600,263000
69700002,69700,4556000,481000
74330002,74330,4594100,608800
69480002,69480,4594300,471500
91100019,91100,4861100,245200
88170006,88170,4826663.63,586374.4
33440006,33440,4492615.3290504,-52054.201580751
43770001,43770,4505300,390000
26400002,26400,4472600,503000
95100011,95100,4894300,225300
59540002,59540,5011200,341000
14470001,14470,4932400,-45700
75016001,75016,4884700,225600
6201001,06200,4373000,718600
88400005,88400,4807500,688400
80580001,80580,5005800.8,190025.44
66170002,66170,4269200,269100
89690001,89690,4820000,299200
13200009,13200,4366751.19789,463468.013303
73600010,73600,4548797.3282321,652925.0635582
39260003,39260,4643900,572200
67500013,67500,4882731.4,779244.4
8150003,08150,4983362.8,460390.4
20137007,20137,4160200,927600
13400003,13400,4329700,558600
94420001,94420,4881300,256600
69550003,69550,4597868,432020
81600001,81600,4389300,188100
29270003,29270,4827519,-358155
71000020,71000,4629200,481100
73420001,73420,4565700,591100
83136012,83136,4333900,608400
12350002,12350,4442400,215600
38470002,38470,4520800,541400
34170001,34170,4362300,389800
33520002,33520,4488800,-57900
59119003,59119,5039200,310800
29610002,29610,4857000,-370800
14130010,14130,4933690.6,30801.9
74210003,74210,4575333,627791
7380002,07380,4464989.22918,432447.950169
37380004,37380,4747400,77700
25310001,25310,4739111.4566038,684714.52367977
63360003,63360,4582000,315000
38490013,38490,4553252,558695.3
51240002,51240,4886100,448500
86000021,86000,4658900,36000
30160002,30160,4428700,411000
55700006,55700,4948385.3119268,520339.75146027
21510001,21510,4766397.53145,472992.28648
53140001,53140,4845927.72097,-20190.7855867
31190002,31190,4334838.13042,147203.766924
58000010,58000,4698700,316200
6580001,06580,4359200,693000
33640002,33640,4468800,-41700
33340001,33340,4531030,-93839
94800008,94800,4878541.7567889,236659.9755323
13170013,13170,4341113.9115325,530965.98881207
62180002,62180,5041200,160800
38500006,38500,4535900,559500
29510005,29170,4793800,-402300
33760002,33760,4473600,-26800
39700013,39700,4711613.7241037,553852.15038275
76240001,76240,4941800,113300
42100005,42100,4543300,441500
43000004,43000,4503300,388600
20129001,20129,4192400,882500
45100008,45100,4784264,192524
44260003,44260,4735931,-186116
38200019,38200,4550248.9078125,485051.26269
55200004,55200,4875600,558500
74350006,74350,4601400,611100
46300004,46300,4472600,137300
71600003,71600,4646714.2444555,411316.33933708
88600001,88600,4818800,668800
67310003,67310,4864600,745300
64100010,64100,4348300,-148800
26290008,26290,4443600,471700
51000005,51000,4895500,433200
30000016,30900,4381522.7701262,436934.88211645
70000001,70000,4762700,617200
57430004,57430,4898700,702800
52100008,52100,4864100,490800
66700003,66700,4255000,304100
54450002,54450,4864400,680600
6600008,06600,4357400,712400
54240002,54240,4922500,601400
54220001,54220,4870500,619200
54230001,54230,4861500,610400
53410003,53410,4807400,-101600
57600003,57600,4917400,691800
55160014,55160,4912032.6,550839.83
70130001,70130,4755100,585600
59174002,59174,5033964,346647
59130001,59130,5064500,302900
59280001,59280,5068300,288100
77230001,77230,4903335.1374453,263600.46095685
83600026,83600,4343100.0975239,675528.03524051
38350005,38350,4491300,578400
30420002,30420,4378312.11,420360.04
59440002,59440,5012900,393700
59450002,59450,5036400,309700
44720005,44720,4738623.2393331,-220349.03965864
62560002,62560,5059081,216880
50760001,50760,4966600,-127000
20200006,20200,4272858.526,945947.796
24340002,24340,4544700,46700
82700001,82700,4395600,122100
93150009,93150,4893500,247300
25110001,25110,4735200,635800
18390004,18390,4709900,248900
56530001,56530,4779000,-342100
59760001,59760,5101100,229300
71170003,71170,4620700,431400
38200007,38200,4551900,491900
54670004,54670,4879284.5,614503.3
76630001,76630,4989715.13,125982.35
