id;enseigne_actuelle;statut_enseigne;suggestions_enseigne;adresse;cp;ville;latitude;longitude;source_enseigne;osm_id;motifs_controle;signature;enseigne_corrigee;decision;commentaire
56580001;U;a_completer;;16 rue chateaubriand;56580;Bréhan;48.061;-2.69;OpenStreetMap;node/3489531057;;16 rue chateaubriand|56580|bréhan;U;complete_auto_banco;"reference_prix_carburants; osm=node/3489531057; distance=0m"
24230002;;a_completer;;26 Avenue del peirigord;24230;Vélines;44.852;0.104;;;enseigne inconnue | adresse BAN eloignee des coordonnees | correspondance OpenStreetMap ambigue;26 avenue del peirigord|24230|vélines;Carrefour;complete_auto_banco;"reference_prix_carburants; osm=node/5554206820; distance=0m"
3210001;;a_completer;;1 ROUTE DE COSNE;03210;Souvigny;46.536;3.203;;;enseigne inconnue | adresse BAN eloignee des coordonnees | aucune station OpenStreetMap proche;1 route de cosne|03210|souvigny;Intermarché;complete_auto_banco;"reference_prix_carburants; osm=way/77061091; distance=0m"
77550004;;a_completer;;AUTOROUTE A5B - AIRE DE GALANDE-LA-MARE-LAROCHE;77550;Évry-Grégy-sur-Yerre;48.626;2.63;;;enseigne inconnue | adresse BAN eloignee des coordonnees | aucune station OpenStreetMap proche;autoroute a5b - aire de galande-la-mare-laroche|77550|évry-grégy-sur-yerre;Total;complete_auto_banco;"reference_prix_carburants; osm=node/7221637582; distance=0m"
74330002;;a_completer;;Route Nationale 508;74330;Epagny Metz-Tessy;45.941;6.088;;;enseigne inconnue | adresse BAN eloignee des coordonnees | aucune station OpenStreetMap proche;route nationale 508|74330|epagny metz-tessy;Total;complete_auto_banco;"reference_prix_carburants; osm=node/5649737457; distance=0m"
71000020;;a_completer;;Rue Frédéric Mistral;71000;Mâcon;46.292;4.811;;;enseigne inconnue | correspondance OpenStreetMap ambigue;rue frédéric mistral|71000|mâcon;Intermarché;complete_auto_banco;"reference_prix_carburants; osm=way/695980852; distance=0m"
14130010;;a_completer;;AIRE DE QUETTEVILLE A29;14130;Quetteville;49.336906;0.308019;;;enseigne inconnue | adresse BAN eloignee des coordonnees | aucune station OpenStreetMap proche;aire de quetteville a29|14130|quetteville;;;
86000021;;a_completer;;70, avenue John Kennedy;86000;Poitiers;46.589;0.36;;;enseigne inconnue | adresse BAN eloignee des coordonnees | correspondance OpenStreetMap ambigue;70, avenue john kennedy|86000|poitiers;Avia;complete_auto_banco;"reference_prix_carburants; osm=node/3865715159; distance=0m"
53140001;;a_completer;;zone Normandie Maine;53140;Pré-en-Pail-Saint-Samson;48.459277;-0.201908;;;enseigne inconnue | adresse BAN eloignee des coordonnees | aucune station OpenStreetMap proche;zone normandie maine|53140|pré-en-pail-saint-samson;U;complete_auto_banco;"reference_prix_carburants; osm=way/235319447; distance=0m"
29510005;;a_completer;;Rue d'Armor;29170;Saint-Évarzec;47.938;-4.023;;;enseigne inconnue | adresse BAN eloignee des coordonnees | correspondance OpenStreetMap ambigue;rue d'armor|29170|saint-évarzec;Intermarché;complete_auto_banco;"reference_prix_carburants; osm=node/12780076046; distance=0m"
62560002;;a_completer;;26 RUE PRINCIPALE;62560;Dennebrœucq;50.571189;2.150657;;;;26 rue principale|62560|dennebrœucq;Elan;complete_auto_banco;"reference_prix_carburants; osm=node/4541694026; distance=0m"
82700001;;a_completer;;171 Avenue d'Auch;82700;Montech;43.956;1.221;;;enseigne inconnue | adresse BAN eloignee des coordonnees | correspondance OpenStreetMap ambigue;171 avenue d'auch|82700|montech;Total;complete_auto_banco;"reference_prix_carburants; osm=node/5615159486; distance=0m"
59760001;;a_completer;;Avenue de l'Ancien Village;59760;Grande-Synthe;51.011;2.293;;;enseigne inconnue | aucune station OpenStreetMap proche;avenue de l'ancien village|59760|grande-synthe;Auchan;complete_auto_banco;"reference_prix_carburants; osm=node/12062925770; distance=0m"
82710003;;a_completer;Esso;Aire de Nauze Vert, RN 20;82710;Bressols;43.968;1.339;;;enseigne inconnue | adresse BAN eloignee des coordonnees | aucune station OpenStreetMap proche;aire de nauze vert, rn 20|82710|bressols;Esso;complete_auto_banco;"reference_prix_carburants; osm=way/728677008; distance=0m"
83600020;;a_completer;;100 RDN 7 AV.DE VERDUN;83600;Fréjus;43.43809;6.719088;;;enseigne inconnue | adresse BAN eloignee des coordonnees | correspondance OpenStreetMap ambigue;100 rdn 7 av.de verdun|83600|fréjus;Total;complete_auto_banco;"reference_prix_carburants; osm=node/300715029; distance=0m"
79000015;;a_completer;;130 Avenue de NANTES;79000;Saint-Rémy;46.348104;-0.509968;;;enseigne inconnue | adresse BAN eloignee des coordonnees | aucune station OpenStreetMap proche;130 avenue de nantes|79000|saint-rémy;;;
84840003;U;a_completer;;81 Avenue de Montélimar;84840;Lapalud;44.312;4.686;OpenStreetMap;way/1134268514;;81 avenue de montélimar|84840|lapalud;U;complete_auto_banco;"reference_prix_carburants; osm=way/1134268514; distance=0m"
84200008;Independent;a_completer;;2875 Route de malaucene;84200;Carpentras;44.0811865;5.0678917;OpenStreetMap;node/1332513206;;2875 route de malaucene|84200|carpentras;Independent;complete_auto_banco;"reference_prix_carburants; osm=node/1332513206; distance=0m"
21500002;;a_completer;;Rue de Dijon;21500;Montbard;47.62499;4.3466;;;enseigne inconnue | correspondance OpenStreetMap ambigue;rue de dijon|21500|montbard;Total;complete_auto_banco;"reference_prix_carburants; osm=way/117869453; distance=0m"
6640002;U;a_completer;;QUARTIER LE PEYRON;06640;Saint-Jeannet;43.743573;7.146356;OpenStreetMap;node/1329928757;adresse BAN eloignee des coordonnees;quartier le peyron|06640|saint-jeannet;Esso;complete_auto_banco;"proximite_gps; osm=node/1329928757; distance=2m"
