id;enseigne_actuelle;statut_enseigne;suggestions_enseigne;adresse;cp;ville;latitude;longitude;source_enseigne;osm_id;motifs_controle;signature;enseigne_corrigee;decision;commentaire
14130010;;a_completer;;AIRE DE QUETTEVILLE A29;14130;Quetteville;49.336906;0.308019;;;enseigne inconnue | adresse BAN eloignee des coordonnees | aucune station OpenStreetMap proche;aire de quetteville a29|14130|quetteville;;;
79000015;;a_completer;;130 Avenue de NANTES;79000;Saint-Rémy;46.348104;-0.509968;;;enseigne inconnue | adresse BAN eloignee des coordonnees | aucune station OpenStreetMap proche;130 avenue de nantes|79000|saint-rémy;;;
95420005;;a_completer;;RN 14;95420;Charmont;49.13514;1.78964;;;enseigne inconnue | aucune station OpenStreetMap proche;rn 14|95420|charmont;;;
92230010;;a_completer;;113 AV LAURENT CELY;92230;Gennevilliers;48.92082;2.30617;;;enseigne inconnue | correspondance OpenStreetMap ambigue;113 av laurent cely|92230|gennevilliers;;;
37270005;;a_completer;;62 CHEMIN DE LA BUSSARDIERE;37270;Véretz;47.3503792;0.8311044;;way/1493330118;;62 chemin de la bussardiere|37270|véretz;;;
19350002;;a_completer;;LASCHAMPS;19350;Chabrignac;45.316832;1.336977;;;enseigne inconnue | adresse BAN eloignee des coordonnees | correspondance OpenStreetMap ambigue;laschamps|19350|chabrignac;;;
47160002;U;a_completer;;13 AVENUE DES LANDES;47160;Damazan;44.28798;0.272237;OpenStreetMap;node/13882728119;;13 avenue des landes|47160|damazan;;;
6250012;;a_completer;;AUTOROUTE A8 - AIRE DES BREGUIÈRES;06250;Mougins;43.593875;7.035736;;;enseigne inconnue | adresse BAN eloignee des coordonnees | correspondance OpenStreetMap ambigue;autoroute a8 - aire des breguières|06250|mougins;;;
74890001;;a_completer;;ROUTE DE LA SCIERIE;74890;Bons-en-Chablais;46.264;6.37;;;enseigne inconnue | adresse BAN eloignee des coordonnees | aucune station OpenStreetMap proche;route de la scierie|74890|bons-en-chablais;;;
24120010;U;a_completer;;14 avenue victor hugo;24120;Terrasson-Lavilledieu;45.1309027;1.3011241;OpenStreetMap;node/13949539917;;14 avenue victor hugo|24120|terrasson-lavilledieu;;;
47500010;U;a_completer;;372 route de périgueux;47500;Fumel;44.492795;0.949165;OpenStreetMap;node/13957850607;;372 route de périgueux|47500|fumel;;;
83460002;;a_completer;;Voie Jacques Prévert;83460;Les Arcs;43.451;6.487;;;enseigne inconnue | adresse BAN eloignee des coordonnees | correspondance OpenStreetMap ambigue;voie jacques prévert|83460|les arcs;;;
29140010;;a_completer;;ROUTE DE CADOL;29140;Melgven;47.914984;-3.84233;;;enseigne inconnue | adresse BAN eloignee des coordonnees | aucune station OpenStreetMap proche;route de cadol|29140|melgven;;;
64300006;;a_completer;;174 ZA de la Plaine des Bois;64300;Biron;43.464;-0.741;;;enseigne inconnue | adresse BAN eloignee des coordonnees | aucune station OpenStreetMap proche;174 za de la plaine des bois|64300|biron;;;
69008008;;a_completer;;86 AVENUE JEAN MERMOZ;69008;Lyon;45.733;4.881;;;enseigne inconnue | aucune station OpenStreetMap proche;86 avenue jean mermoz|69008|lyon;;;
41200005;;a_completer;;LA BRIGAUDIERE;41200;Romorantin-Lanthenay;47.358;1.745;;;enseigne inconnue | adresse BAN eloignee des coordonnees | correspondance OpenStreetMap ambigue;la brigaudiere|41200|romorantin-lanthenay;;;
20250009;;a_completer;;10 faubourg saint Antoine;20250;Corte;42.301226;9.150543;;;enseigne inconnue | correspondance OpenStreetMap ambigue;10 faubourg saint antoine|20250|corte;;;
24750004;;a_completer;;avenue Georges Pompidou;24750;Trélissac;45.198;0.741;;;enseigne inconnue | adresse BAN eloignee des coordonnees | correspondance OpenStreetMap ambigue;avenue georges pompidou|24750|trélissac;;;
78990004;;a_completer;Elan;Rue du Fond des Roches;78990;Élancourt;48.776;1.954;;;enseigne inconnue | adresse BAN eloignee des coordonnees | correspondance OpenStreetMap ambigue;rue du fond des roches|78990|élancourt;;;
2580002;;a_completer;;14 RUE DU MONVINAGE;02580;Étréaupont;49.903544;3.913999;;;enseigne inconnue | adresse BAN eloignee des coordonnees | correspondance OpenStreetMap ambigue;14 rue du monvinage|02580|étréaupont;;;
61130001;;a_completer;;Rue Guillaume SEZNEC;61130;Saint-Martin-du-Vieux-Bellême;48.375;0.542;;;enseigne inconnue | correspondance OpenStreetMap ambigue;rue guillaume seznec|61130|saint-martin-du-vieux-bellême;;;
